time (days since 1610-01-01),irradiance (W/m^2),uncertainty (W/m^2)
127500.0,1362.37744140625,0.6194816827774048
127501.0,1362.776123046875,0.7169754505157471
127502.0,1362.5872802734375,0.732808530330658
127503.0,1362.5885009765625,0.7103090286254883
127504.0,1362.6436767578125,0.6772878766059875
127505.0,1362.660400390625,0.6517047882080078
127506.0,1362.3785400390625,0.6859778165817261
127507.0,1362.50390625,0.6388957500457764
127508.0,1362.57568359375,0.6022754907608032
127509.0,1362.363525390625,0.6227695345878601
127510.0,1362.1566162109375,0.6419426798820496
127511.0,1362.0577392578125,0.6396082043647766
127512.0,1361.8685302734375,0.6553976535797119
127513.0,1361.750732421875,0.656823456287384
127514.0,1361.4539794921875,0.7521878480911255
127515.0,1361.3836669921875,0.8021655678749084
127516.0,1361.16943359375,0.8809894323348999
127517.0,1360.8929443359375,1.0306874513626099
127518.0,1361.1351318359375,1.076176404953003
127519.0,1361.19140625,1.0987037420272827
127520.0,1361.39892578125,1.1154659986495972
127521.0,1361.9534912109375,1.1517894268035889
127522.0,1362.09375,1.1537318229675293
127523.0,1361.648193359375,0.9705137610435486
127524.0,1361.4508056640625,0.9537350535392761
127525.0,1361.7462158203125,0.8380043506622314
127526.0,1362.218017578125,0.7545586228370667
127527.0,1362.29052734375,0.8700013756752014
127528.0,1362.740234375,0.8081455826759338
127529.0,1362.9100341796875,0.7866220474243164
127530.0,1362.3773193359375,0.6961643695831299
127531.0,1362.445556640625,0.6882763504981995
127532.0,1362.5108642578125,0.6816384792327881
127533.0,1361.897216796875,0.7197706699371338
127534.0,1362.060302734375,0.719884991645813
127535.0,1362.0430908203125,0.7560936808586121
127536.0,1362.0859375,0.7805719375610352
127537.0,1362.347900390625,0.7521670460700989
127538.0,1362.569091796875,0.7319275140762329
127539.0,1362.563720703125,0.7571493983268738
127540.0,1362.1451416015625,0.785029947757721
127541.0,1361.850341796875,0.8796097636222839
127542.0,1361.1298828125,1.0800936222076416
127543.0,1360.4365234375,1.1776750087738037
